data_source,technique
DS0026,T1222
DS0026,T1037
DS0026,T1484
DS0026,T1550
DS0026,T1003
DS0026,T1033
DS0026,T1207
DS0026,T1556
DS0026,T1558
DS0026,T1649
DS0026,T1098
DS0026,T1615
DS0026,T1134
DS0026,T1531
DS0015,T0817
DS0015,T0801
DS0015,T1550
DS0015,T1557
DS0015,T1213
DS0015,T1199
DS0015,T1110
DS0015,T0800
DS0015,T1078
DS0015,T1069
DS0015,T0820
DS0015,T0843
DS0015,T1212
DS0015,T1114
DS0015,T1562
DS0015,T1189
DS0015,T0861
DS0015,T1598
DS0015,T0830
DS0015,T1211
DS0015,T0803
DS0015,T0855
DS0015,T1200
DS0015,T1558
DS0015,T0858
DS0015,T1610
DS0015,T1133
DS0015,T0865
DS0015,T0890
DS0015,T1622
DS0015,T0866
DS0015,T1594
DS0015,T0889
DS0015,T0864
DS0015,T1003
DS0015,T1203
DS0015,T0807
DS0015,T1499
DS0015,T0845
DS0015,T1210
DS0015,T0860
DS0015,T0839
DS0015,T0814
DS0015,T0848
DS0015,T1649
DS0015,T1098
DS0015,T0838
DS0015,T0816
DS0015,T1564
DS0015,T1505
DS0015,T0822
DS0015,T1190
DS0015,T0857
DS0015,T0806
DS0015,T1621
DS0015,T0811
DS0015,T0821
DS0015,T1204
DS0015,T1137
DS0015,T1534
DS0015,T0836
DS0015,T1491
DS0015,T1556
DS0015,T0804
DS0015,T1648
DS0015,T1027
DS0015,T1566
DS0015,T1072
DS0015,T0819
DS0015,T0805
DS0015,T0863
DS0039,T0889
DS0039,T0843
DS0039,T0877
DS0039,T0821
DS0039,T0836
DS0039,T0848
DS0039,T0838
DS0039,T0835
DS0037,T1588
DS0025,T1546
DS0025,T1046
DS0025,T1562
DS0025,T1526
DS0025,T1648
DS0010,T1619
DS0010,T1485
DS0010,T1537
DS0010,T1486
DS0010,T1580
DS0010,T1530
DS0017,T1037
DS0017,T0852
DS0017,T1113
DS0017,T1036
DS0017,T1052
DS0017,T1110
DS0017,T1040
DS0017,T1078
DS0017,T0823
DS0017,T1070
DS0017,T1059
DS0017,T0809
DS0017,T0859
DS0017,T1011
DS0017,T1049
DS0017,T1562
DS0017,T1053
DS0017,T1120
DS0017,T1547
DS0017,T1082
DS0017,T1056
DS0017,T1136
DS0017,T1201
DS0017,T1574
DS0017,T1622
DS0017,T0849
DS0017,T1217
DS0017,T1518
DS0017,T1025
DS0017,T1570
DS0017,T1564
DS0017,T0842
DS0017,T0872
DS0017,T0811
DS0017,T1569
DS0017,T1047
DS0017,T1123
DS0017,T1561
DS0017,T1039
DS0017,T1550
DS0017,T1480
DS0017,T1135
DS0017,T1069
DS0017,T1041
DS0017,T1114
DS0017,T1609
DS0017,T1046
DS0017,T1489
DS0017,T1012
DS0017,T1098
DS0017,T1542
DS0017,T0886
DS0017,T0867
DS0017,T1555
DS0017,T0840
DS0017,T1563
DS0017,T1497
DS0017,T1087
DS0017,T1552
DS0017,T1140
DS0017,T1027
DS0017,T1125
DS0017,T0863
DS0017,T1112
DS0017,T0853
DS0017,T1222
DS0017,T1124
DS0017,T1558
DS0017,T1018
DS0017,T1567
DS0017,T1010
DS0017,T1074
DS0017,T1033
DS0017,T1486
DS0017,T1055
DS0017,T1490
DS0017,T1649
DS0017,T1134
DS0017,T1115
DS0017,T0881
DS0017,T1529
DS0017,T1485
DS0017,T1020
DS0017,T1137
DS0017,T1006
DS0017,T1218
DS0017,T1127
DS0017,T1216
DS0017,T1546
DS0017,T1197
DS0017,T1553
DS0017,T1496
DS0017,T1560
DS0017,T1007
DS0017,T1484
DS0017,T1005
DS0017,T1543
DS0017,T1615
DS0017,T1482
DS0017,T0802
DS0017,T1003
DS0017,T1057
DS0017,T0807
DS0017,T1647
DS0017,T1548
DS0017,T1083
DS0017,T1119
DS0017,T1614
DS0017,T1505
DS0017,T1204
DS0017,T1048
DS0017,T1016
DS0017,T1556
DS0017,T1021
DS0017,T1202
DS0017,T1176
DS0032,T1053
DS0032,T1204
DS0032,T1611
DS0032,T1610
DS0032,T1613
DS0038,T1584
DS0038,T1583
DS0016,T1091
DS0016,T1052
DS0016,T0847
DS0016,T1006
DS0016,T1014
DS0016,T1092
DS0016,T1200
DS0016,T1561
DS0016,T1542
DS0027,T1003
DS0027,T1562
DS0027,T1111
DS0027,T1547
DS0027,T1055
DS0027,T1543
DS0027,T1561
DS0027,T1056
DS0027,T1068
DS0027,T1542
DS0022,T1037
DS0022,T1036
DS0022,T1539
DS0022,T1052
DS0022,T1078
DS0022,T1070
DS0022,T0809
DS0022,T1011
