group,technique
G0018,T1135
G0018,T1027
G0018,T1074
G0018,T1083
G0018,T1069
G0018,T1016
G0018,T1014
G0018,T1543
G0018,T1203
G0018,T1112
G0018,T1082
G0018,T1547
G0018,T1573
G0018,T1102
G0018,T1005
G0018,T1021
G0018,T1036
G0018,T1105
G0018,T1204
G0018,T1136
G0018,T1071
G0018,T1007
G0018,T1049
G0018,T1070
G0018,T1059
G0018,T1018
G0018,T1087
G0018,T1124
G0018,T1010
G0018,T1055
G0018,T1201
G0018,T1095
G0018,T1569
G0018,T1056
G0018,T1566
G0130,T1190
G0130,T1105
G0130,T1555
G0130,T1204
G0130,T1056
G0130,T1566
G1000,T0859
G1000,T0865
G1000,T0817
G1000,T0852
G0138,T1012
G0138,T1027
G0138,T1057
G0138,T1588
G0138,T1016
G0138,T1106
G0138,T1543
G0138,T1203
G0138,T1112
G0138,T1132
G0138,T1082
G0138,T1547
G0138,T1592
G0138,T1573
G0138,T1189
G0138,T1590
G0138,T1005
G0138,T1033
G0138,T1218
G0138,T1568
G0138,T1105
G0138,T1204
G0138,T1049
G0138,T1070
G0138,T1059
G0138,T1129
G0138,T1055
G0138,T1574
G0138,T1113
G0138,T1140
G0138,T1095
G0138,T1569
G0138,T1056
G0138,T1566
G1007,T1027
G1007,T1057
G1007,T1588
G1007,T1587
G1007,T1083
G1007,T1203
G1007,T1132
G1007,T1082
G1007,T1547
G1007,T1573
G1007,T1120
G1007,T1005
G1007,T1570
G1007,T1036
G1007,T1218
G1007,T1105
G1007,T1204
G1007,T1071
G1007,T1007
G1007,T1070
G1007,T1055
G1007,T1041
G1007,T1091
G1007,T1572
G1007,T1140
G0099,T1027
G0099,T1057
G0099,T1123
G0099,T1571
G0099,T1588
G0099,T1564
G0099,T1083
G0099,T1106
G0099,T1021
G0099,T1053
G0099,T1036
G0099,T1105
G0099,T1555
G0099,T1204
G0099,T1496
G0099,T1070
G0099,T1059
G0099,T1562
G0099,T1041
G0099,T1140
G0099,T1056
G0099,T1125
G0099,T1566
G0006,T1135
G0006,T1003
G0006,T1027
G0006,T1057
G0006,T1588
G0006,T1074
G0006,T1083
G0006,T1069
G0006,T1016
G0006,T1014
G0006,T1543
G0006,T1550
G0006,T1112
G0006,T1119
G0006,T1583
G0006,T1082
G0006,T1547
G0006,T1573
G0006,T1021
G0006,T1102
G0006,T1005
G0006,T1098
G0006,T1570
G0006,T1033
G0006,T1036
G0006,T1552
G0006,T1105
G0006,T1649
G0006,T1555
G0006,T1008
G0006,T1136
G0006,T1007
G0006,T1071
G0006,T1049
G0006,T1070
G0006,T1207
G0006,T1059
G0006,T1018
G0006,T1087
G0006,T1585
G0006,T1124
G0006,T1558
G0006,T1518
G0006,T1010
G0006,T1055
G0006,T1574
G0006,T1560
G0006,T1113
G0006,T1114
G0006,T1201
G0006,T1134
G0006,T1569
G0006,T1056
G0006,T1566
G0006,T1584
G0005,T1057
G0005,T1564
G0005,T1083
G0005,T1016
G0005,T1014
G0005,T1203
G0005,T1132
G0005,T1082
G0005,T1547
G0005,T1573
G0005,T1102
G0005,T1005
G0005,T1033
G0005,T1036
G0005,T1568
G0005,T1105
G0005,T1204
G0005,T1071
G0005,T1007
G0005,T1070
G0005,T1059
G0005,T1055
G0005,T1090
G0005,T1566
G0023,T1057
G0023,T1071
G0023,T1083
G0023,T1584
G0025,T1583
G0025,T1057
G0025,T1104
G0025,T1102
G0025,T1083
G0025,T1070
G0025,T1059
G0025,T1585
G0026,T1012
G0026,T1027
G0026,T1057
G0026,T1083
G0026,T1016
G0026,T1106
G0026,T1543
G0026,T1112
G0026,T1132
G0026,T1082
G0026,T1547
G0026,T1573
G0026,T1133
G0026,T1570
G0026,T1053
G0026,T1036
G0026,T1218
G0026,T1568
G0026,T1105
G0026,T1071
G0026,T1078
G0026,T1070
G0026,T1059
G0026,T1129
