mitigation,technique
M1036,T1110
M1036,T1621
M1015,T1558
M1015,T1550
M1015,T1134
M1015,T1003
M1015,T1552
M1015,T1072
M1015,T1649
M1015,T1606
M1049,T1027
M1049,T1221
M1049,T1566
M1049,T1547
M1049,T1059
M1013,T1626
M1013,T1574
M1013,T1559
M1013,T1593
M1013,T1647
M1013,T1635
M1013,T1564
M1013,T1078
M1013,T1474
M1013,T1517
M1013,T1513
M1048,T1559
M1048,T1210
M1048,T1189
M1048,T1611
M1048,T1211
M1048,T1212
M1048,T1068
M1048,T1203
M1048,T1021
M1048,T1190
M1047,T1484
M1047,T1204
M1047,T1528
M1047,T1548
M1047,T1564
M1047,T1612
M1047,T1562
M1047,T1578
M1047,T1525
M1047,T1606
M1047,T1482
M1047,T1563
M1047,T1593
M1047,T1087
M1047,T1542
M1047,T1552
M1047,T1649
M1047,T1059
M1047,T1530
M1047,T1610
M1047,T1574
M1047,T1556
M1047,T1550
M1047,T1505
M1047,T1543
M1047,T1566
M1047,T1021
M1047,T1560
M1047,T1114
M1047,T1546
M1047,T1558
M1047,T1053
M1047,T1213
M1047,T1176
M1040,T1546
M1040,T1204
M1040,T1559
M1040,T1574
M1040,T1027
M1040,T1055
M1040,T1091
M1040,T1543
M1040,T1216
M1040,T1569
M1040,T1106
M1040,T1047
M1040,T1003
M1040,T1486
M1040,T1137
M1040,T1059
M1046,T1601
M1046,T1495
M1046,T1542
M1046,T1195
M1046,T1553
M1045,T1546
M1045,T1204
M1045,T1036
M1045,T1601
M1045,T1505
M1045,T1554
M1045,T1543
M1045,T1525
M1045,T1059
M1043,T1601
M1043,T1003
M1043,T1547
M1043,T1599
M1053,T1491
M1053,T1490
M1053,T1485
M1053,T1561
M1053,T1486
M1057,T1048
M1057,T1052
M1057,T1005
M1057,T1567
M1057,T1025
M1057,T1041
M1042,T1011
M1042,T1092
M1042,T1052
M1042,T1564
M1042,T1562
M1042,T1553
M1042,T1555
M1042,T1559
M1042,T1563
M1042,T1210
M1042,T1218
M1042,T1552
M1042,T1127
M1042,T1137
M1042,T1649
M1042,T1059
M1042,T1046
M1042,T1557
M1042,T1187
M1042,T1505
M1042,T1091
M1042,T1205
M1042,T1543
M1042,T1021
M1042,T1114
M1042,T1546
M1042,T1098
M1042,T1595
M1042,T1221
M1042,T1133
M1042,T1547
M1055,T1480
M1041,T1530
M1041,T1602
M1041,T1649
M1041,T1558
M1041,T1040
M1041,T1119
M1041,T1557
M1041,T1550
M1041,T1552
M1041,T1070
M1041,T1020
M1041,T1110
M1041,T1565
M1041,T1003
M1041,T1114
M1039,T1562
M1039,T1070
M1038,T1204
M1038,T1219
M1038,T1548
M1038,T1564
M1038,T1047
M1038,T1068
M1038,T1562
M1038,T1553
M1038,T1129
M1038,T1611
M1038,T1216
M1038,T1218
M1038,T1127
M1038,T1059
M1038,T1574
M1038,T1505
M1038,T1546
M1038,T1036
M1038,T1609
M1038,T1080
M1038,T1106
M1038,T1220
M1038,T1176
M1038,T1547
M1050,T1210
M1050,T1189
M1050,T1080
M1050,T1218
M1050,T1211
M1050,T1212
M1050,T1068
M1050,T1203
M1050,T1190
M1037,T1048
M1037,T1219
M1037,T1498
M1037,T1095
M1037,T1570
M1037,T1499
M1037,T1090
M1037,T1218
M1037,T1572
M1037,T1552
M1037,T1530
M1037,T1197
M1037,T1557
M1037,T1187
M1037,T1205
M1037,T1021
M1037,T1537
M1037,T1602
M1037,T1599
M1037,T1071
M1035,T1610
M1035,T1546
M1035,T1563
M1035,T1200
M1035,T1557
M1035,T1609
M1035,T1542
M1035,T1133
M1035,T1612
M1035,T1613
M1035,T1552
M1035,T1021
M1034,T1052
M1034,T1200
M1034,T1091
M1033,T1543
M1033,T1021
M1033,T1176
M1033,T1547
M1033,T1059
M1032,T1530
M1032,T1098
M1032,T1599
M1032,T1539
M1032,T1040
M1032,T1621
M1032,T1556
M1032,T1601
M1032,T1078
M1032,T1213
M1032,T1110
M1032,T1133
M1032,T1111
M1032,T1136
M1032,T1021
M1032,T1072
M1032,T1199
M1032,T1114
M1031,T1204
M1031,T1048
M1031,T1219
M1031,T1008
M1031,T1105
M1031,T1573
M1031,T1095
M1031,T1104
M1031,T1570
M1031,T1542
M1031,T1090
M1031,T1572
M1031,T1046
M1031,T1557
M1031,T1001
M1031,T1566
M1031,T1041
M1031,T1571
M1031,T1602
M1031,T1221
M1031,T1568
M1031,T1071
M1031,T1132
M1031,T1029
M1031,T1030
